ward_id,ward_name,population_total,population_under_five,households,exposure_type,exposure_value,unit,truth_class,source_kind,freshness_state,aggregation_method,spatial_resolution,source_ref,notes
1572,Bukira Centrl/Ikerege,5346,738,1215,,,,seeded_demo,seeded,fresh,,,seed-e2e:2026-05-05,Seeded ward population baseline for non-production e2e testing.
1572,Bukira Centrl/Ikerege,,,,population_density,196.9,people_per_km2_proxy,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1572,Bukira Centrl/Ikerege,,,,settlement_concentration,0.315,index,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1572,Bukira Centrl/Ikerege,,,,floodplain_exposure,0.209,index,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1572,Bukira Centrl/Ikerege,,,,water_body_proximity,0.279,index,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1572,Bukira Centrl/Ikerege,,,,wash_vulnerability,0.309,index,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1572,Bukira Centrl/Ikerege,,,,exposed_population_proxy,145.0,people_proxy,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1571,Bukira East,5556,767,1263,,,,seeded_demo,seeded,fresh,,,seed-e2e:2026-05-05,Seeded ward population baseline for non-production e2e testing.
1571,Bukira East,,,,population_density,199.4,people_per_km2_proxy,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1571,Bukira East,,,,settlement_concentration,0.34,index,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1571,Bukira East,,,,floodplain_exposure,0.209,index,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1571,Bukira East,,,,water_body_proximity,0.299,index,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1571,Bukira East,,,,wash_vulnerability,0.274,index,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1571,Bukira East,,,,exposed_population_proxy,133.6,people_proxy,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1540,Central Kamagambo,7053,1002,1603,,,,seeded_demo,seeded,fresh,,,seed-e2e:2026-05-05,Seeded ward population baseline for non-production e2e testing.
1540,Central Kamagambo,,,,population_density,304.2,people_per_km2_proxy,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1540,Central Kamagambo,,,,settlement_concentration,0.385,index,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1540,Central Kamagambo,,,,floodplain_exposure,0.331,index,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1540,Central Kamagambo,,,,water_body_proximity,0.428,index,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1540,Central Kamagambo,,,,wash_vulnerability,0.412,index,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1540,Central Kamagambo,,,,exposed_population_proxy,404.0,people_proxy,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1561,Central Kanyamkago,6132,849,1394,,,,seeded_demo,seeded,fresh,,,seed-e2e:2026-05-05,Seeded ward population baseline for non-production e2e testing.
1561,Central Kanyamkago,,,,population_density,216.8,people_per_km2_proxy,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1561,Central Kanyamkago,,,,settlement_concentration,0.326,index,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1561,Central Kanyamkago,,,,floodplain_exposure,0.224,index,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1561,Central Kanyamkago,,,,water_body_proximity,0.272,index,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1561,Central Kanyamkago,,,,wash_vulnerability,0.287,index,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1561,Central Kanyamkago,,,,exposed_population_proxy,165.6,people_proxy,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1547,Central Sakwa,6186,854,1406,,,,seeded_demo,seeded,fresh,,,seed-e2e:2026-05-05,Seeded ward population baseline for non-production e2e testing.
1547,Central Sakwa,,,,population_density,206.9,people_per_km2_proxy,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1547,Central Sakwa,,,,settlement_concentration,0.34,index,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1547,Central Sakwa,,,,floodplain_exposure,0.209,index,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1547,Central Sakwa,,,,water_body_proximity,0.279,index,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1547,Central Sakwa,,,,wash_vulnerability,0.309,index,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1547,Central Sakwa,,,,exposed_population_proxy,167.8,people_proxy,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1541,East Kamagambo,7137,1002,1622,,,,seeded_demo,seeded,fresh,,,seed-e2e:2026-05-05,Seeded ward population baseline for non-production e2e testing.
1541,East Kamagambo,,,,population_density,268.3,people_per_km2_proxy,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1541,East Kamagambo,,,,settlement_concentration,0.345,index,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1541,East Kamagambo,,,,floodplain_exposure,0.279,index,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1541,East Kamagambo,,,,water_body_proximity,0.362,index,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1541,East Kamagambo,,,,wash_vulnerability,0.333,index,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1541,East Kamagambo,,,,exposed_population_proxy,278.5,people_proxy,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1564,East Kanyamkago,6606,912,1501,,,,seeded_demo,seeded,fresh,,,seed-e2e:2026-05-05,Seeded ward population baseline for non-production e2e testing.
1564,East Kanyamkago,,,,population_density,211.9,people_per_km2_proxy,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1564,East Kanyamkago,,,,settlement_concentration,0.315,index,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1564,East Kanyamkago,,,,floodplain_exposure,0.209,index,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1564,East Kanyamkago,,,,water_body_proximity,0.319,index,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1564,East Kanyamkago,,,,wash_vulnerability,0.309,index,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1564,East Kanyamkago,,,,exposed_population_proxy,179.2,people_proxy,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1549,God Jope,6816,941,1549,,,,seeded_demo,seeded,fresh,,,seed-e2e:2026-05-05,Seeded ward population baseline for non-production e2e testing.
1549,God Jope,,,,population_density,214.4,people_per_km2_proxy,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
