ward_code,ward_name,population_total,population_density,gridded_population_value,aggregation_method,spatial_resolution,unit,truth_class,source_kind,freshness_state,source_ref,notes
KE-WARD-1290,Bukira Centrl/Ikerege,25801,426.690,25801.302,ward_sum_from_worldpop_100m_grid_pixel_centers,100m,people_per_km2,spatially_aggregated_source,live,fresh,https://data.worldpop.org/GIS/Population/Global_2015_2030/R2025A/2026/KEN/v1/100m/constrained/ken_pop_2026_CN_100m_R2025A_v1.tif,WorldPop G2_CN_POP_R25A_100m KEN 2026 v1; ward_area_km2=60.468; assigned_pixels=6496; polygon_sha256=5554c913ff082f7cc2536c772a9190ca81d3b1a7370d872800ff540ce40f6997; pixel-center aggregation.
KE-WARD-1289,Bukira East,33857,1009.595,33856.908,ward_sum_from_worldpop_100m_grid_pixel_centers,100m,people_per_km2,spatially_aggregated_source,live,fresh,https://data.worldpop.org/GIS/Population/Global_2015_2030/R2025A/2026/KEN/v1/100m/constrained/ken_pop_2026_CN_100m_R2025A_v1.tif,WorldPop G2_CN_POP_R25A_100m KEN 2026 v1; ward_area_km2=33.535; assigned_pixels=3730; polygon_sha256=5554c913ff082f7cc2536c772a9190ca81d3b1a7370d872800ff540ce40f6997; pixel-center aggregation.
KE-WARD-1262,Central Kamagambo,41998,1537.487,41997.900,ward_sum_from_worldpop_100m_grid_pixel_centers,100m,people_per_km2,spatially_aggregated_source,live,fresh,https://data.worldpop.org/GIS/Population/Global_2015_2030/R2025A/2026/KEN/v1/100m/constrained/ken_pop_2026_CN_100m_R2025A_v1.tif,WorldPop G2_CN_POP_R25A_100m KEN 2026 v1; ward_area_km2=27.316; assigned_pixels=3166; polygon_sha256=5554c913ff082f7cc2536c772a9190ca81d3b1a7370d872800ff540ce40f6997; pixel-center aggregation.
KE-WARD-1279,Central Kanyamkago,26936,500.612,26935.582,ward_sum_from_worldpop_100m_grid_pixel_centers,100m,people_per_km2,spatially_aggregated_source,live,fresh,https://data.worldpop.org/GIS/Population/Global_2015_2030/R2025A/2026/KEN/v1/100m/constrained/ken_pop_2026_CN_100m_R2025A_v1.tif,WorldPop G2_CN_POP_R25A_100m KEN 2026 v1; ward_area_km2=53.805; assigned_pixels=6102; polygon_sha256=5554c913ff082f7cc2536c772a9190ca81d3b1a7370d872800ff540ce40f6997; pixel-center aggregation.
KE-WARD-1268,Central Sakwa,24377,559.293,24377.172,ward_sum_from_worldpop_100m_grid_pixel_centers,100m,people_per_km2,spatially_aggregated_source,live,fresh,https://data.worldpop.org/GIS/Population/Global_2015_2030/R2025A/2026/KEN/v1/100m/constrained/ken_pop_2026_CN_100m_R2025A_v1.tif,WorldPop G2_CN_POP_R25A_100m KEN 2026 v1; ward_area_km2=43.586; assigned_pixels=4283; polygon_sha256=5554c913ff082f7cc2536c772a9190ca81d3b1a7370d872800ff540ce40f6997; pixel-center aggregation.
KE-WARD-1263,East Kamagambo,43664,630.251,43663.950,ward_sum_from_worldpop_100m_grid_pixel_centers,100m,people_per_km2,spatially_aggregated_source,live,fresh,https://data.worldpop.org/GIS/Population/Global_2015_2030/R2025A/2026/KEN/v1/100m/constrained/ken_pop_2026_CN_100m_R2025A_v1.tif,WorldPop G2_CN_POP_R25A_100m KEN 2026 v1; ward_area_km2=69.280; assigned_pixels=7957; polygon_sha256=5554c913ff082f7cc2536c772a9190ca81d3b1a7370d872800ff540ce40f6997; pixel-center aggregation.
KE-WARD-1281,East Kanyamkago,17216,474.839,17216.032,ward_sum_from_worldpop_100m_grid_pixel_centers,100m,people_per_km2,spatially_aggregated_source,live,fresh,https://data.worldpop.org/GIS/Population/Global_2015_2030/R2025A/2026/KEN/v1/100m/constrained/ken_pop_2026_CN_100m_R2025A_v1.tif,WorldPop G2_CN_POP_R25A_100m KEN 2026 v1; ward_area_km2=36.257; assigned_pixels=4077; polygon_sha256=5554c913ff082f7cc2536c772a9190ca81d3b1a7370d872800ff540ce40f6997; pixel-center aggregation.
KE-WARD-1269,God Jope,29516,703.916,29516.161,ward_sum_from_worldpop_100m_grid_pixel_centers,100m,people_per_km2,spatially_aggregated_source,live,fresh,https://data.worldpop.org/GIS/Population/Global_2015_2030/R2025A/2026/KEN/v1/100m/constrained/ken_pop_2026_CN_100m_R2025A_v1.tif,WorldPop G2_CN_POP_R25A_100m KEN 2026 v1; ward_area_km2=41.931; assigned_pixels=4878; polygon_sha256=5554c913ff082f7cc2536c772a9190ca81d3b1a7370d872800ff540ce40f6997; pixel-center aggregation.
KE-WARD-1296,Gokeharaka/Getambwega,26394,497.598,26394.187,ward_sum_from_worldpop_100m_grid_pixel_centers,100m,people_per_km2,spatially_aggregated_source,live,fresh,https://data.worldpop.org/GIS/Population/Global_2015_2030/R2025A/2026/KEN/v1/100m/constrained/ken_pop_2026_CN_100m_R2025A_v1.tif,WorldPop G2_CN_POP_R25A_100m KEN 2026 v1; ward_area_km2=53.043; assigned_pixels=5936; polygon_sha256=5554c913ff082f7cc2536c772a9190ca81d3b1a7370d872800ff540ce40f6997; pixel-center aggregation.
KE-WARD-1287,Got Kachola,31683,245.453,31682.991,ward_sum_from_worldpop_100m_grid_pixel_centers,100m,people_per_km2,spatially_aggregated_source,live,fresh,https://data.worldpop.org/GIS/Population/Global_2015_2030/R2025A/2026/KEN/v1/100m/constrained/ken_pop_2026_CN_100m_R2025A_v1.tif,WorldPop G2_CN_POP_R25A_100m KEN 2026 v1; ward_area_km2=129.079; assigned_pixels=10449; polygon_sha256=5554c913ff082f7cc2536c772a9190ca81d3b1a7370d872800ff540ce40f6997; pixel-center aggregation.
KE-WARD-1291,Isibania,22309,3276.919,22308.698,ward_sum_from_worldpop_100m_grid_pixel_centers,100m,people_per_km2,spatially_aggregated_source,live,fresh,https://data.worldpop.org/GIS/Population/Global_2015_2030/R2025A/2026/KEN/v1/100m/constrained/ken_pop_2026_CN_100m_R2025A_v1.tif,WorldPop G2_CN_POP_R25A_100m KEN 2026 v1; ward_area_km2=6.808; assigned_pixels=786; polygon_sha256=5554c913ff082f7cc2536c772a9190ca81d3b1a7370d872800ff540ce40f6997; pixel-center aggregation.
